year,month,month_name,station_id,station_name,network_name,state_code,PM2.5,PM10,O3,NO2,NOx,CO
2001.0,7.0,Julio,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,7.0,Julio,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,7.0,Julio,256,Merced,Valle de México,9.0,,,,,,
2001.0,7.0,Julio,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,7.0,Julio,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,7.0,Julio,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,7.0,Julio,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,8.0,Agosto,102,Centro,Guadalajara,0.0,,,,,,
2001.0,8.0,Agosto,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,8.0,Agosto,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,8.0,Agosto,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,8.0,Agosto,125,Metepec,Toluca,0.0,,,,,,
2001.0,8.0,Agosto,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,8.0,Agosto,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,8.0,Agosto,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,8.0,Agosto,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,8.0,Agosto,141,Obispado,Monterrey,19.0,,,,,,
2001.0,8.0,Agosto,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,8.0,Agosto,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,8.0,Agosto,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,8.0,Agosto,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,8.0,Agosto,256,Merced,Valle de México,9.0,,,,,,
2001.0,8.0,Agosto,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,8.0,Agosto,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,8.0,Agosto,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,8.0,Agosto,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,9.0,Septiembre,102,Centro,Guadalajara,0.0,,,,,,
2001.0,9.0,Septiembre,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,9.0,Septiembre,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,9.0,Septiembre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,9.0,Septiembre,125,Metepec,Toluca,0.0,,,,,,
2001.0,9.0,Septiembre,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,9.0,Septiembre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,9.0,Septiembre,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,9.0,Septiembre,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,9.0,Septiembre,141,Obispado,Monterrey,19.0,,,,,,
2001.0,9.0,Septiembre,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,9.0,Septiembre,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,9.0,Septiembre,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,9.0,Septiembre,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,9.0,Septiembre,256,Merced,Valle de México,9.0,,,,,,
2001.0,9.0,Septiembre,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,9.0,Septiembre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,9.0,Septiembre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,9.0,Septiembre,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,10.0,Octubre,102,Centro,Guadalajara,0.0,,,,,,
2001.0,10.0,Octubre,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,10.0,Octubre,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,10.0,Octubre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,10.0,Octubre,125,Metepec,Toluca,0.0,,,,,,
2001.0,10.0,Octubre,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,10.0,Octubre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,10.0,Octubre,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,10.0,Octubre,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,10.0,Octubre,141,Obispado,Monterrey,19.0,,,,,,
2001.0,10.0,Octubre,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,10.0,Octubre,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,10.0,Octubre,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,10.0,Octubre,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,10.0,Octubre,256,Merced,Valle de México,9.0,,,,,,
2001.0,10.0,Octubre,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,10.0,Octubre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,10.0,Octubre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,10.0,Octubre,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,11.0,Noviembre,102,Centro,Guadalajara,0.0,,,,,,
2001.0,11.0,Noviembre,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,11.0,Noviembre,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,11.0,Noviembre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,11.0,Noviembre,125,Metepec,Toluca,0.0,,,,,,
2001.0,11.0,Noviembre,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,11.0,Noviembre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,11.0,Noviembre,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,11.0,Noviembre,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,11.0,Noviembre,141,Obispado,Monterrey,19.0,,,,,,
2001.0,11.0,Noviembre,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,11.0,Noviembre,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,11.0,Noviembre,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,11.0,Noviembre,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,11.0,Noviembre,256,Merced,Valle de México,9.0,,,,,,
2001.0,11.0,Noviembre,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,11.0,Noviembre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,11.0,Noviembre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,11.0,Noviembre,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,12.0,Diciembre,102,Centro,Guadalajara,0.0,,,,,,
2001.0,12.0,Diciembre,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,12.0,Diciembre,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,12.0,Diciembre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,12.0,Diciembre,125,Metepec,Toluca,0.0,,,,,,
2001.0,12.0,Diciembre,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,12.0,Diciembre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,12.0,Diciembre,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,12.0,Diciembre,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,12.0,Diciembre,141,Obispado,Monterrey,19.0,,,,,,
2001.0,12.0,Diciembre,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,12.0,Diciembre,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,12.0,Diciembre,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,12.0,Diciembre,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,12.0,Diciembre,256,Merced,Valle de México,9.0,,,,,,
2001.0,12.0,Diciembre,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,12.0,Diciembre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,12.0,Diciembre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,12.0,Diciembre,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,1.0,Enero,102,Centro,Guadalajara,0.0,,,,,,
2002.0,1.0,Enero,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,1.0,Enero,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,1.0,Enero,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,1.0,Enero,125,Metepec,Toluca,0.0,,,,,,
2002.0,1.0,Enero,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,1.0,Enero,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,1.0,Enero,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,1.0,Enero,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,1.0,Enero,141,Obispado,Monterrey,19.0,,,,,,
2002.0,1.0,Enero,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,1.0,Enero,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,1.0,Enero,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,1.0,Enero,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,1.0,Enero,256,Merced,Valle de México,9.0,,,,,,
2002.0,1.0,Enero,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,1.0,Enero,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,1.0,Enero,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,1.0,Enero,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,2.0,Febrero,102,Centro,Guadalajara,0.0,,,,,,
2002.0,2.0,Febrero,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,2.0,Febrero,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,2.0,Febrero,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,2.0,Febrero,125,Metepec,Toluca,0.0,,,,,,
2002.0,2.0,Febrero,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,2.0,Febrero,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,2.0,Febrero,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,2.0,Febrero,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,2.0,Febrero,141,Obispado,Monterrey,19.0,,,,,,
2002.0,2.0,Febrero,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,2.0,Febrero,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,2.0,Febrero,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,2.0,Febrero,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,2.0,Febrero,256,Merced,Valle de México,9.0,,,,,,
2002.0,2.0,Febrero,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,2.0,Febrero,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,2.0,Febrero,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,2.0,Febrero,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,3.0,Marzo,102,Centro,Guadalajara,0.0,,,,,,
2002.0,3.0,Marzo,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,3.0,Marzo,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,3.0,Marzo,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,3.0,Marzo,125,Metepec,Toluca,0.0,,,,,,
2002.0,3.0,Marzo,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,3.0,Marzo,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,3.0,Marzo,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,3.0,Marzo,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,3.0,Marzo,141,Obispado,Monterrey,19.0,,,,,,
2002.0,3.0,Marzo,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,3.0,Marzo,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,3.0,Marzo,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,3.0,Marzo,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,3.0,Marzo,256,Merced,Valle de México,9.0,,,,,,
2002.0,3.0,Marzo,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,3.0,Marzo,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,3.0,Marzo,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,3.0,Marzo,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,4.0,Abril,102,Centro,Guadalajara,0.0,,,,,,
2002.0,4.0,Abril,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,4.0,Abril,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,4.0,Abril,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,4.0,Abril,125,Metepec,Toluca,0.0,,,,,,
2002.0,4.0,Abril,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,4.0,Abril,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,4.0,Abril,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,4.0,Abril,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,4.0,Abril,141,Obispado,Monterrey,19.0,,,,,,
2002.0,4.0,Abril,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,4.0,Abril,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,4.0,Abril,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,4.0,Abril,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,4.0,Abril,256,Merced,Valle de México,9.0,,,,,,
2002.0,4.0,Abril,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,4.0,Abril,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,4.0,Abril,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,4.0,Abril,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,5.0,Mayo,102,Centro,Guadalajara,0.0,,,,,,
2002.0,5.0,Mayo,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,5.0,Mayo,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,5.0,Mayo,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,5.0,Mayo,125,Metepec,Toluca,0.0,,,,,,
2002.0,5.0,Mayo,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,5.0,Mayo,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,5.0,Mayo,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,5.0,Mayo,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,5.0,Mayo,141,Obispado,Monterrey,19.0,,,,,,
2002.0,5.0,Mayo,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,5.0,Mayo,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,5.0,Mayo,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,5.0,Mayo,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,5.0,Mayo,256,Merced,Valle de México,9.0,,,,,,
2002.0,5.0,Mayo,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,5.0,Mayo,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,5.0,Mayo,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,5.0,Mayo,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,6.0,Junio,102,Centro,Guadalajara,0.0,,,,,,
2002.0,6.0,Junio,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,6.0,Junio,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,6.0,Junio,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,6.0,Junio,125,Metepec,Toluca,0.0,,,,,,
2002.0,6.0,Junio,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,6.0,Junio,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,6.0,Junio,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,6.0,Junio,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,6.0,Junio,141,Obispado,Monterrey,19.0,,,,,,
2002.0,6.0,Junio,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,6.0,Junio,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,6.0,Junio,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,6.0,Junio,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,6.0,Junio,256,Merced,Valle de México,9.0,,,,,,
2002.0,6.0,Junio,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,6.0,Junio,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,6.0,Junio,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,6.0,Junio,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,7.0,Julio,102,Centro,Guadalajara,0.0,,,,,,
2002.0,7.0,Julio,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,7.0,Julio,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,7.0,Julio,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,7.0,Julio,125,Metepec,Toluca,0.0,,,,,,
2002.0,7.0,Julio,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,7.0,Julio,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,7.0,Julio,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,7.0,Julio,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,7.0,Julio,141,Obispado,Monterrey,19.0,,,,,,
2002.0,7.0,Julio,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,7.0,Julio,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,7.0,Julio,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,7.0,Julio,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,7.0,Julio,256,Merced,Valle de México,9.0,,,,,,
2002.0,7.0,Julio,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,7.0,Julio,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,7.0,Julio,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,7.0,Julio,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,8.0,Agosto,102,Centro,Guadalajara,0.0,,,,,,
2002.0,8.0,Agosto,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,8.0,Agosto,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,8.0,Agosto,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,8.0,Agosto,125,Metepec,Toluca,0.0,,,,,,
2002.0,8.0,Agosto,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,8.0,Agosto,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,8.0,Agosto,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,8.0,Agosto,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,8.0,Agosto,141,Obispado,Monterrey,19.0,,,,,,
2002.0,8.0,Agosto,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,8.0,Agosto,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,8.0,Agosto,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,8.0,Agosto,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,8.0,Agosto,256,Merced,Valle de México,9.0,,,,,,
2002.0,8.0,Agosto,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,8.0,Agosto,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,8.0,Agosto,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,8.0,Agosto,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,9.0,Septiembre,102,Centro,Guadalajara,0.0,,,,,,
2002.0,9.0,Septiembre,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,9.0,Septiembre,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,9.0,Septiembre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,9.0,Septiembre,125,Metepec,Toluca,0.0,,,,,,
2002.0,9.0,Septiembre,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,9.0,Septiembre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,9.0,Septiembre,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,9.0,Septiembre,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,9.0,Septiembre,141,Obispado,Monterrey,19.0,,,,,,
2002.0,9.0,Septiembre,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,9.0,Septiembre,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,9.0,Septiembre,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,9.0,Septiembre,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,9.0,Septiembre,256,Merced,Valle de México,9.0,,,,,,
2002.0,9.0,Septiembre,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,9.0,Septiembre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,9.0,Septiembre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,9.0,Septiembre,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,10.0,Octubre,102,Centro,Guadalajara,0.0,,,,,,
2002.0,10.0,Octubre,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,10.0,Octubre,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,10.0,Octubre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,10.0,Octubre,125,Metepec,Toluca,0.0,,,,,,
2002.0,10.0,Octubre,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,10.0,Octubre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,10.0,Octubre,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,10.0,Octubre,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,10.0,Octubre,141,Obispado,Monterrey,19.0,,,,,,
2002.0,10.0,Octubre,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,10.0,Octubre,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,10.0,Octubre,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,10.0,Octubre,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,10.0,Octubre,256,Merced,Valle de México,9.0,,,,,,
2002.0,10.0,Octubre,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,10.0,Octubre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,10.0,Octubre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,10.0,Octubre,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,11.0,Noviembre,102,Centro,Guadalajara,0.0,,,,,,
2002.0,11.0,Noviembre,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,11.0,Noviembre,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,11.0,Noviembre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,11.0,Noviembre,125,Metepec,Toluca,0.0,,,,,,
2002.0,11.0,Noviembre,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,11.0,Noviembre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,11.0,Noviembre,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,11.0,Noviembre,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,11.0,Noviembre,141,Obispado,Monterrey,19.0,,,,,,
2002.0,11.0,Noviembre,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,11.0,Noviembre,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,11.0,Noviembre,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,11.0,Noviembre,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,11.0,Noviembre,256,Merced,Valle de México,9.0,,,,,,
2002.0,11.0,Noviembre,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,11.0,Noviembre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,11.0,Noviembre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,11.0,Noviembre,271,Xalostoc,Valle de México,15.0,,,,,,
2002.0,12.0,Diciembre,102,Centro,Guadalajara,0.0,,,,,,
2002.0,12.0,Diciembre,103,Las Águilas,Guadalajara,0.0,,,,,,
2002.0,12.0,Diciembre,106,Miravalle,Guadalajara,0.0,,,,,,
2002.0,12.0,Diciembre,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2002.0,12.0,Diciembre,125,Metepec,Toluca,0.0,,,,,,
2002.0,12.0,Diciembre,126,Oxtotitlán,Toluca,0.0,,,,,,
2002.0,12.0,Diciembre,128,San Mateo Atenco,Toluca,0.0,,,,,,
2002.0,12.0,Diciembre,139,Santa Catarina,Monterrey,19.0,,,,,,
2002.0,12.0,Diciembre,140,San Bernabé,Monterrey,19.0,,,,,,
2002.0,12.0,Diciembre,141,Obispado,Monterrey,19.0,,,,,,
2002.0,12.0,Diciembre,142,San Nicolás,Monterrey,19.0,,,,,,
2002.0,12.0,Diciembre,143,La Pastora,Monterrey,19.0,,,,,,
2002.0,12.0,Diciembre,161,Agua Santa,Puebla,21.0,,,,,,
2002.0,12.0,Diciembre,162,Las Ninfas,Puebla,21.0,,,,,,
2002.0,12.0,Diciembre,256,Merced,Valle de México,9.0,,,,,,
2002.0,12.0,Diciembre,260,San Agustín,Valle de México,15.0,,,,,,
2002.0,12.0,Diciembre,266,Tlalnepantla,Valle de México,15.0,,,,,,
2002.0,12.0,Diciembre,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2002.0,12.0,Diciembre,271,Xalostoc,Valle de México,15.0,,,,,,
2006.0,1.0,Enero,68,Policía,Celaya,0.0,,,,,,
2006.0,1.0,Enero,72,Bomberos,Irapuato,0.0,,,,,,
2006.0,1.0,Enero,73,Teódula,Irapuato,0.0,,,,,,
2006.0,1.0,Enero,74,CICEG - Bomberos,León,0.0,,,,,,
2006.0,1.0,Enero,77,Cruz roja,Salamanca,0.0,,,,,,
2006.0,1.0,Enero,78,DIF,Salamanca,0.0,,,,,,
2006.0,2.0,Febrero,68,Policía,Celaya,0.0,,,,,,
2006.0,2.0,Febrero,72,Bomberos,Irapuato,0.0,,,,,,
2006.0,2.0,Febrero,73,Teódula,Irapuato,0.0,,,,,,
2006.0,2.0,Febrero,74,CICEG - Bomberos,León,0.0,,,,,,
2006.0,2.0,Febrero,77,Cruz roja,Salamanca,0.0,,,,,,
2006.0,2.0,Febrero,78,DIF,Salamanca,0.0,,,,,,
2006.0,3.0,Marzo,68,Policía,Celaya,0.0,,,,,,
2006.0,3.0,Marzo,72,Bomberos,Irapuato,0.0,,,,,,
2006.0,3.0,Marzo,73,Teódula,Irapuato,0.0,,,,,,
2006.0,3.0,Marzo,74,CICEG - Bomberos,León,0.0,,,,,,
2006.0,3.0,Marzo,77,Cruz roja,Salamanca,0.0,,,,,,
2006.0,3.0,Marzo,78,DIF,Salamanca,0.0,,,,,,
2006.0,4.0,Abril,68,Policía,Celaya,0.0,,,,,,
2006.0,4.0,Abril,72,Bomberos,Irapuato,0.0,,,,,,
2006.0,4.0,Abril,73,Teódula,Irapuato,0.0,,,,,,
2006.0,4.0,Abril,74,CICEG - Bomberos,León,0.0,,,,,,
2006.0,4.0,Abril,77,Cruz roja,Salamanca,0.0,,,,,,
2006.0,4.0,Abril,78,DIF,Salamanca,0.0,,,,,,
2006.0,5.0,Mayo,68,Policía,Celaya,0.0,,,,,,
2006.0,5.0,Mayo,72,Bomberos,Irapuato,0.0,,,,,,
2006.0,5.0,Mayo,73,Teódula,Irapuato,0.0,,,,,,
2006.0,5.0,Mayo,74,CICEG - Bomberos,León,0.0,,,,,,
